,Source,PX,PY,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14
5756,Control_2_Bregma_-3.12_PS_(1x).jpg,163,37,11.0,16.0,4.024691000000001,6.984949,11.0,-0.232808,-1.3463120000000002,19.0,16.0,5.160494,8.282745,78.0,-1.112002,-5.457421
5496,20191128_192514_HDR_2.jpg,115,31,12.0,0.0,10.407407000000001,2.904988,12.0,-0.028668,-0.30858,19.0,0.0,12.345678999999999,4.360769,69.0,-1.0199209999999999,-5.107688
1254,20191128_191118_HDR_2.jpg,130,54,5.0,11.0,1.358025,4.516933,5.0,-0.03398,-0.47926599999999997,11.0,10.0,2.481481,4.929406,72.0,-1.09215,-5.536455
1512,Control_A_-4.08.jpg,117,50,25.0,56.0,16.518519,15.554056,25.0,-0.375359,-1.1134469999999999,55.0,56.0,23.259259,20.107598,79.0,-1.033942,-4.009305
949,Control_A_-4.08.jpg,132,36,3.0,52.0,-2.1728400000000003,11.870484,3.0,-0.44591000000000003,-1.142056,27.0,52.0,5.790123,16.572114000000003,60.0,-1.057108,-4.393141
1914,Control_A_-4.08.jpg,97,77,5.0,54.0,-1.814815,12.814065,5.0,-0.424199,-1.504895,44.0,54.0,3.160494,17.271583,56.0,-1.0201930000000001,-5.941382
2185,Control_A_-2.76.jpg,86,55,12.0,59.0,0.8641979999999999,18.494412,12.0,-0.47639899999999996,-2.6546220000000003,51.0,59.0,4.864198,21.758354999999998,79.0,-1.128401,-4.699888
6288,Control_3_Bregma_-2.jpg,171,51,16.0,2.0,10.802469,5.538685,16.0,-0.363925,-1.245694,23.0,2.0,11.012346,6.205322,72.0,-1.069567,-4.748009
3932,20191128_191420_HDR_2.jpg,100,36,13.0,37.0,6.839506,11.301105,13.0,-0.43137,-1.1081299999999998,26.0,37.0,11.012346,13.651295999999999,76.0,-1.113444,-4.34305
2909,20191128_192452_HDR_2.jpg,147,46,9.0,1.0,6.6666669999999995,3.158371,9.0,-0.096358,-0.583263,18.0,0.0,8.271605000000001,4.521587,77.0,-1.106235,-5.219426
2325,20191128_191647_HDR_2.jpg,94,32,7.0,4.0,3.320988,3.3987190000000003,7.0,-0.162434,-1.1424290000000001,13.0,4.0,4.419753,4.300055,77.0,-1.1255110000000002,-5.4590309999999995
5467,20191128_191420_HDR_2.jpg,189,51,42.0,1.0,36.024691,10.96231,42.0,-0.484555,-1.135513,53.0,0.0,38.271605,12.553109,129.0,-1.244573,-4.909771
1986,Control_3_Bregma_-2.jpg,200,64,18.0,0.0,12.333333,5.985579,18.0,-0.384373,-1.255475,23.0,0.0,12.666667,6.499763,75.0,-1.077985,-4.748165
4960,Control_A_3-4.jpg,222,47,12.0,8.0,7.5061729999999995,5.096897,12.0,-0.29973299999999997,-1.180315,18.0,8.0,8.333333,5.866835,59.0,-0.997519,-4.453111
2066,20191128_192452_HDR_2.jpg,34,71,3.0,7.0,-0.641975,2.342883,3.0,0.154141,-1.338286,4.0,7.0,-0.839506,2.907873,51.0,-0.9559190000000001,-6.329662
1455,20191128_191320_HDR_2.jpg,127,34,3.0,6.0,0.8888889999999999,2.7080130000000002,3.0,0.24935,0.188722,9.0,6.0,1.851852,3.6922040000000003,98.0,-1.228604,-5.7650559999999995
3824,20191128_192452_HDR_2.jpg,147,47,10.0,0.0,7.6666669999999995,3.158371,10.0,-0.083082,-0.531179,18.0,0.0,8.555556,4.745368,77.0,-1.101163,-5.373092
3460,20191128_192514_HDR_2.jpg,134,33,4.0,10.0,2.234568,3.422048,4.0,-0.08278200000000001,-0.46932299999999993,10.0,10.0,3.888889,4.591995,62.0,-1.028916,-5.420277
2338,Control_2_Bregma_-3.12_PS_(1x).jpg,152,35,16.0,3.0,10.481481,5.854430000000001,16.0,-0.40460799999999997,-1.470356,23.0,4.0,10.493827,6.400469999999999,81.0,-1.127317,-5.2499199999999995
1164,Control_A_3-4.jpg,74,63,8.0,11.0,3.37037,4.307457,8.0,-0.100263,-0.9487260000000001,13.0,11.0,3.753086,4.801057,48.0,-0.9047620000000001,-4.648874
4346,20191128_192514_HDR_2.jpg,54,58,6.0,7.0,3.061728,3.814675,6.0,-0.04322,-0.555203,13.0,7.0,4.246914,4.6997,59.0,-1.006998,-4.952689
4580,20191128_191558_HDR_2.jpg,127,34,8.0,6.0,4.308642,3.9710120000000004,8.0,-0.173355,-0.986692,13.0,6.0,4.839506,4.509131,88.0,-1.181985,-5.5398190000000005
